Habitat	IJSEM year	article doi	16S rDNA accession number	DNA GC content (mol%)	oxygen preference	mean length (microns)	mean width (microns)	motility	spore production	Metabolism assays	Genus name	species name	strain name	pH optimum for growth	pH range at which growth occurred	temperature optimum for growth (degC)	temperature range at which growth occurred (degC)	optimal NaCl concentration for growth (%)	NaCl concentration range at which growth occurred (%)	pigment production	cell shape	cell aggregation	article first page	culture collection codes	Sole carbon substrate use	genome accession number	gram status	"If 'other' was chosen above, please enter a habitat below"	The paper included Biolog results
other	2009	10.1099/ijs.0.002527-0	EF114313	38	NA			"motile, but unspecified structure"	yes	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, catalase positive, gelatinase, nitrate reduction to nitrite, oxidase positive, urease positive"	Bacillus	aryabhattai	B8W22T	8	06-Oct	28	Oct-37		<11.6	yes	rod	clump	2977	MTCC7755T|JCM13839T	"2-ketogluconate, 5-ketoguconate, adonitol, alanine, alanine, arabinose, arginine, asparagine, cellobiose, fructose, galactose, gelatin, glucose, glutamic acid, glycerol, glycine, lactate, lactose, leucine, malate, malonic acid (malonate), maltose, mannitol, mannose, melibiose, myo-inositol, N-acetylgulcosamine, ornithine, propionic acid (propionate), raffinose, rhamnose, ribose, serine, sorbitol, sucrose, threonine, trehalose, tryptophan, xylitol, xylose"		positive	cryotubes	No
other	2008	10.1099/ijs.0.65108-0	EF116488	38	anaerobic	2.6	0.55	non-motile	no	nitrate reduction to nitrite	Proteiniborus	ethanoligenes	GW	8.65	6.4-10	37	20-48			NA	rod	not indicated	12	CGMCC=1.5055|JCM=14574			positive	Sludge	No
soil	2009	10.1099/ijs.0.001479-0	EF116925	70.6	aerobic			non-motile	yes	"aesculin hydrolysis, nitrate reduction to nitrite"	Actinomadura	miaoliensis	 BC44T-5T			40	25-55						517	FIRDI002|BCRC16873T|LMG24335T	"fructose, glucose, lactose, rhamnose, sorbitol, trehalose, xylose"		positive		No
soil	2009	10.1099/ijs.0.65758-0	EF117253	59.5	aerobic	1.75	0.75	"motile, but unspecified structure"	not indicated	"aesculin hydrolysis, catalase positive, nitrate reduction to nitrite, oxidase positive"	Filomicrobium	insigne	SLG5B-19T	7.25	6.0-9.0	29	Apr-45	1.5	0-7.0		rod	clump	300	CGMCC1.6497T5|LMG 23927T	"acetate, cellobiose, ethanol, formic acid, fructose, trehalose"		negative		No
soil	2007	10.1099/ijs.0.64935-0	EF117329 	34	aerobic	3.5	0.5	not indicated	no	"acid phosphatase, alkaline phosphatase, oxidase positive"	Flavobacterium	terrae	R2A1-13T	7	06-Aug	30	May-37	0-2	0-2	yes	rod	not indicated	1594	KACC11731T|DSM18829T			negative		No
soil	2007	10.1099/ijs.0.65037-0	EF121313		aerobic				yes		Streptomyces	synnematoformans	S155T	8	6.5-9.5	23.5	Oct-37	3.5	0-7	yes	not indicated		2009	CGMCC4.2055T|DSM41902T	"cellobiose, fructose, galactose, glucose, maltose, mannose, pyruvic acid (pyruvate), trehalose"		positive		No
soil	2007	10.1099/ijs.0.64973-0	EF121853	66.6	aerobic	1.0-1.6	0.6-0.8	flagella	not indicated	"catalase positive, nitrate reduction to nitrite, oxidase positive, urease positive"	Halomonas	shengliensis	SL014B-85T	8.5	08-Sep	30	Oct-42	May-15	0-15	no	rod	not indicated	1222	CGMCC1.6444T|LMG23897T	"dextrin, galactose, gluconic acid, glucose, lactose, malate, malonic acid (malonate), mannose, sorbitol, succinic acid (succinate), sucrose"		negative		No
soil	2008	10.1099/ijs.0.65746-0	EF121854	67	aerobic	1-1.2	0.7-0.8	flagella	no	"catalase positive, indole production, nitrate reduction to nitrite, oxidase positive, urease positive"	Halomonas	daqingensis	DQD2-30	9	08-Oct	30	Oct-50	05-Oct	Jan-15	yes	rod	chain	2859	CGMCC1.6443|LMG23896	"dextrin, galactose, gluconic acid, glucose, malate, malonic acid (malonate), maltose, mannitol, mannose, sorbitol, succinic acid (succinate), sucrose, trehalose"		negative		No
other	2007	10.1099/ijs.0.64948-0	EF122436	42.3	aerobic	0.55	1.5	non-motile	no	"acid phosphatase, alkaline phosphatase, catalase positive, oxidase positive"	Sphingobacterium	composti	4M24T	7.5	06-Sep	27.5	Oct-45	2.5	0-5	yes	rod	not indicated	1590	KACC11313T|DSM18850T	"arabinose, cellobiose, fructose, fucose, galactose, glucose, lactose, maltose, mannose, melibiose, N-acetylgulcosamine, raffinose, salicin, sucrose, trehalose, Tween 20, Tween 80, xylose"		negative	cotton waste compost	No
soil	2008	10.1099/ijs.0.65445-0	EF125184	53.7	aerobic	03-Jun	0.5-0.8	flagella	yes	"aesculin hydrolysis, catalase positive"	Paenibacillus 	tarimensis	SA-7-6	7.5	06-Sep	37	25-45	0-3	0-3	yes	rod	chain	2081	CCTCCAB206108|DSM19409	"cellobiose, glucose, glycogen, lactose, malate, maltose, mannose, melibiose, pyruvic acid (pyruvate), pyruvic acid methyl ester, raffinose, ribose, salicin, sucrose, xylose"		positive		No
"freshwater sediment (river, lake, pond"	2007	10.1099/ijs.0.64968-0	EF125186	71.2	anaerobic			non-motile	no	"aesculin hydrolysis, catalase positive, gelatinase, nitrate reduction to nitrite, urease positive"	Brachybacterium	zhongshanense	JBT	7	05-Nov	32.5	25-40	5	0-10	no	rod	not indicated	2519	LMG23926T/CGMCC1.6508T/DSM18832T	"acetate, arabinose, cellobiose, dextrin, fructose, galactose, galcturonic acid, gelatin, glucose, glycerol, glycogen, inosine, lactate, lactose, maltose, mannose, melibiose, pyruvic acid (pyruvate), pyruvic acid methyl ester, raffinose, sucrose, trehalose, urea, xylitol, xylose"		positive		Yes
seawater	2008	10.1099/ijs.0.65798-0	EF126149	60.5	NA	2.5-4.7	0.9-1.5	non-motile	no		Rubidibacter	lacunae	KORDI 51-2	7	7	30	25-35	02-Jul	02-Jul	yes	rod	chain	2807	KCTC40015|UTEXL2944			NA		No
plant associated	2009	10.1099/ijs.0.001693-0	EF126746	66.8	aerobic	2.25	0.64	"motile, but unspecified structure"	no	"acid phosphatase, catalase positive, oxidase positive, urease positive"	Methylobcterium	phyllosphaerae	CBMB27T	6.8	05-Sep	28	20-30		<2.0	yes	rod	clump	22	LMG24361T/KACC11716T/DSM19779T	"2-aminethanol, 2-ketogluconate, 3-hydroxybutyrate, 4-hydroxbenzoate, 5-ketoguconate, acetate, adipate, alanine, alaninamide, alanine, alpha-ketovaleric acid, arabinose, asparagine, aspartic acid (aspartate), citric acide (citrate), ethanol, formic acid, fructose, fucose, galactonic acid, galcturonic acid, gluconic acid, glucose, glutamic acid, glycerol, glycogen, itaconate, lactate, malate, melibiose, proline, propionic acid (propionate), pyruvic acid methyl ester, rhamnose, ribose, salicin, serine, sorbitol, succinic acid (succinate), sucrose, Tween 80, urea, xylose"		negative		Yes
other	2007	10.1099/ijs.0.65048-0	EF126967					non-motile	not indicated	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, alpha-galactosidase, catalase positive, H2S production, urease positive"	Kribbella	aluminosa	HKI0478T	6.5	05-Aug	28.5	20-37	1	0-2.0	no			1943	DSM18824T|JCM14599T 	"acetate, arabinose, citric acide (citrate), fructose, glucose, malate, raffinose, succinic acid (succinate), sucrose, xylose"		positive	Slate surface	No
soil	2007	10.1099/ijs.0.64935-0	EF126993	38	aerobic	2.5	0.5	gliding	no	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, alpha-galactosidase, catalase positive, oxidase positive"	Flavobacterium	cucumis	R2A45-3T	7	06-Aug	30	May-37	0-2	0-2	yes	rod	not indicated	1594	KACC11732T|DSM18830T			negative		No
hypersaline environment	2008	10.1099/ijs.0.65316-0	EF127229	61.7	anaerobic	4.5	0.75	non-motile	not indicated	"aesculin hydrolysis, alpha-galactosidase, catalase positive, gelatinase"	Halorhabdus	tiamatea	SARL4B	6.75	5.5-8.5	45	15-55	27	Oct-30	no	rod	not indicated	215	DSM=18392|JCM=14471	"fructose, galactose, glucose, proline"		negative		No
other	2008	10.1099/ijs.0.65443-0	EF133690	73.3	facultative anaerobe	0.3-1.2	0.2-0.4	non-motile	yes	"aesculin hydrolysis, catalase positive, nitrate reduction to nitrite, oxidase positive, urease positive"	Aeromicrobium	flavum	TYLN1	7	05-Oct	30	25-37	01-Feb	01-Apr	yes	rod	chain	1860	CCTCCAB206046|DSM19355	"acetate, fructose, glucose, glycerol, maltose, pyruvic acid (pyruvate), ribose, sucrose, trehalose"		positive	air sample	Yes
human - skin	2008	10.1099/ijs.0.65222-0	EF138818		NA			not indicated	not indicated	"alkaline phosphatase, arylsulfatase, catalase positive, gelatinase, nitrate reduction to nitrite, pyrazinamidase, urease positive"	Mycobacterium	setense	ABO-M06			30	25-37		5	no	rod	not indicated	486	CIP=109395|DSM=45070	"glucose, mannitol"		positive		No
other	2009	10.1099/ijs.0.007641-0	EF139191	63.9	anaerobic	5	1	flagella	no	"aesculin hydrolysis, H2S production"	Selenomonas	bovis	WGT 	7.1	4.2-8.3	39	27-46				rod	clump	2080	CGMCC1.5073T|JCM15470T	"arabinose, cellobiose, gelatin, glucose, lactose, mannose, melibiose, raffinose, salicin, sucrose, trehalose"		negative	cellulose-degrading mixture culture	No
other	2008	10.1099/ijs.0.2008/002410-0	EF139654	69.4	aerobic	1-1.5	0.5	"motile, but unspecified structure"	no	"aesculin hydrolysis, catalase positive, nitrate reduction to nitrite, oxidase positive"	Halorubrum	californiense	SF3-213	7.3	6.8-8.5	37	25-42	20.3-26.1	14.5-29	yes	rod	chain	2710	CECT7256|DSM19288|JCM14715	"galactose, glucose, lactose"		negative	crystallizer pond	No
soil	2007	10.1099/ijs.0.64956-0	EF141348	63.9	aerobic	1.75	2	non-motile	no	"catalase positive, oxidase positive"	Deinococcus	peraridilitoris	KR-200T 	6.5-8	05-Sep	30	Oct-37			yes	rod	not indicated	1408	LMG22246T|CIP109416T	"arabinose, asparagine, cellobiose, galactose, glucosamine, glucose, glutamic acid, maltose, proline, ribose, sucrose, trehalose"		positive		No
soil	2009	10.1099/ijs.0.65863-0	EF143926	70.3	aerobic			non-motile	yes	"aesculin hydrolysis, catalase positive, nitrate reduction to nitrite, urease positive"	Saccharopolyspora	jiangxiensis	W12T	7.5	5.5-9.5	30	15-45		<11		rod	chain	1076	CGMCC4.3529T|JCM14613T	"acetate, adonitol, arabinose, citric acide (citrate), dextrin, fructose, galactose, glucose, glycerol, lactose, malate, maltose, mannitol, mannose, methyl beta-D-glucoside, myo-inositol, raffinose, rhamnose, ribose, sorbitol, succinic acid (succinate), sucrose, trehalose, xylose"		positive		No
hypersaline environment	2007	10.1099/ijs.0.65022-0	EF144147	56.7	aerobic	3	0.75	"motile, but unspecified structure"		"catalase positive, H2S production"	Halomonas	arcis	AJ282T	7.5	6.0-10	30	4.0-48	3	0.0-20		rod		1619	CGMCC1.6494T|JCM14607T|LMG23978T	"acetate, alanine, alanine, arabinose, arginine, aspartic acid (aspartate), citric acide (citrate), ethanol, fructose, galactose, gluconic acid, glucose, glutamic acid, glycerol, malate, malonic acid (malonate), maltose, mannitol, ornithine, propionic acid (propionate), sorbitol, succinic acid (succinate), sucrose, trehalose, Tween 20, xylose"		negative		No
hypersaline environment	2007	10.1099/ijs.0.65022-0	EF144148	57.6	aerobic	4	0.75	"motile, but unspecified structure"		"catalase positive, H2S production, urease positive"	Halomonas	subterranea	ZG16T	7.5	6.0-10	30	4.0-48	3	0.0-15		rod		1619	CGMCC1.6495T|JCM14608T|LMG 23977T	"acetate, alanine, alanine, arabinose, arginine, aspartic acid (aspartate), citric acide (citrate), fructose, galactose, gluconic acid, glucose, glutamic acid, glycerol, histidine, malate, maltose, mannitol, sorbitol, succinic acid (succinate), sucrose, trehalose, Tween 20, xylose"		negative		No
hypersaline environment	2007	10.1099/ijs.0.65022	EF144149	65.9	aerobic	3	1	"motile, but unspecified structure"		"catalase positive, oxidase positive"	Halomonas	saccharevitans	AJ275T	7.5	6.0-10	30	4.0-48	5.25	0.5-15		cocci		1619	CGMCC1.6493T|JCM14606T|LMG 23976T	"alanine, alanine, aspartic acid (aspartate), glutamic acid, glycerol, serine, Tween 20"		negative		No
other	2008	10.1099/ijs.0.65829-0	EF149003	59.7	aerobic	02-Mar	0.5	"motile, but unspecified structure"	no	catalase positive	Mesorhizobium	caraganae	CCBAU 11299	7	7	28	28-40	0	0	yes	rod	chain	2646	LMG24397|HAMBI29990	"galactose, glucose, mannose, sucrose, trehalose, xylose"		negative	root nodules	No
soil	2008	10.1099/ijs.0.65249-0	EF151805	50.1	aerobic			non-motile	not indicated	"acid phosphatase, alkaline phosphatase, alpha-galactosidase, catalase positive, oxidase positive"	Parapedobacter	soli	DCY14				30			yes	rod	not indicated	337	KCTC=12984|LMG=24069	"arabinose, glucose, glycogen, maltose, mannitol, mannose, melibiose, N-acetylgulcosamine, rhamnose, ribose, salicin, sorbitol, sucrose"		negative		No
plant associated	2007	10.1099/ijs.0.65109-0	EF154454	37.8	facultative anaerobe	0.5дус1	0.5дус1	non-motile	no	aesculin hydrolysis	Enterococcus	camelliae	FP15-1T	7.3	5.0дус9.6	30	15дус45	4	2дус6 	no	cocci	chain	2151	KCTC13133T|NBRC101868T|NRIC0105T|TISTR932T|PCU277T	"cellobiose, fructose, glucose, maltose, mannitol, mannose, salicin, sucrose, trehalose"		positive		No
soil	2008	10.1099/ijs.0.65838-0	EF154512	39.2	facultative anaerobe	1.1-2.6	0.3-0.6	non-motile	yes	"alkaline phosphatase, catalase positive, oxidase positive"	Sporosarcina 	antarctica	N-05	06-Aug	05-Oct	17-18	0-23	0-9	0-9	yes	rod	chain	2114	CGMCC1.6503|JCM14646	glucose		positive		No
soil	2008	10.1099/ijs.0.65244-0	EF154515	65.1	aerobic	2.6	0.45	non-motile	no	"oxidase positive, urease positive"	Sinobacter	flavus	CW-KD 4	6.5	05-Aug	27.5	Oct-35	0	0-2	yes	rod	not indicated	184	DSM=18980|KCTC=12881|CCTCC=AB206145	"cellobiose, glucosamine, glucose, N-acetylgulcosamine, ribose, sucrose"		negative		No
soil	2007	10.1099/ijs.0.65046-0	EF154516	37.2	aerobic	1.2	0.6	non-motile	no	"aesculin hydrolysis, catalase positive, gelatinase, oxidase positive"	Chryseobacterium	flavum	CW-E 2T	6.5	5.0-9.0	32.5	5.0-42	1	0.0-6.0	yes	rod		1765	KCTC12877T|CCTCCAB 206147T	"adonitol, arabinose, cellobiose, dextrin, fructose, galactose, glucosamine, glucose, lactose, maltose, mannitol, mannose, melibiose, ribose, sorbitol, sucrose, trehalose, Tween 80, xylitol, xylose"		negative		No
marine sediment	2007	10.1099/ijs.0.65030-0	EF157832	62.2		1.05	0.65	flagella	no	"catalase positive, H2S production, indole production, nitrate reduction to nitrite, oxidase positive"	Marinobacter 	segnicrescens	SS011B1-4T 	7.5-8	06-Oct	30-37	15-45	04-Aug	Jan-15	yes	ovoid/coccobacillus	not indicated	1970	LMG23928T|CGMCC1.6489T	"acetate, citric acide (citrate), fructose, gluconic acid, glucose, malate, myo-inositol, propionic acid (propionate), ribose, sorbitol, succinic acid (succinate), sucrose, trehalose"		negative		No
"freshwater (river, lake, pond)"	2008	10.1099/ijs.0.65434-0	EF158390	64-66	facultative aerobe	1.65	0.4	flagella	no	"alkaline phosphatase, catalase positive, nitrate reduction to nitrite, oxidase positive, urease positive"	Azonexus	hydrophilus	d8-1	7.5		37.5	35-40	0.5	0-1	NA	rod	not indicated	946	LMG=24005|BCRC=17657	"itaconate, pyruvic acid methyl ester"		negative		No
soil	2008	10.1099/ijs.0.65183-0	EF158852	70	aerobic	4.5	1.8	"motile, but unspecified structure"	no	"acid phosphatase, alkaline phosphatase, catalase positive, gelatinase, pyrazinamidase"	Brevibacterium	album	YIM 90718	7.5	06-Aug	37	28-45	2.5	0-10	NA	rod	not indicated	574	DSM=18261|KCTC=19173|CCTCC=AB206112	"alanine, alanine, fucose, gluconic acid, malate, mannitol, mannose, myo-inositol, N-acetylgulcosamine, putrescine, salicin, succinic acid (succinate), trehalose, Tween 80"		positive		Yes
soil	2007	10.1099/ijs.0.65018-0	EF166075	61	aerobic	2.75	0.55	"motile, but unspecified structure"	not indicated	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, catalase positive, gelatinase, oxidase positive"	Rhodanobacter	ginsengisoli	GR17-7T	7	5.0-9.0	28	May-35		<3	yes	rod	not indicated	2810	KACC11762T|DSM18993T	"3-hydroxybutyrate, acetate, glucose, maltose, N-acetylgulcosamine, proline, Tween 80, valerate"		negative		No
soil	2007	10.1099/ijs.0.65018-0	EF166076	62.5	aerobic	3.5	0.5	non-motile	not indicated	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, catalase positive, oxidase positive"	Rhodanobacter	terrae	GP18-1T	6	4.0-8.0	26.5	May-30		<2	yes	rod	not indicated	2810	KACC11761T|DSM19241T	"3-hydroxybutyrate, acetate, glucose, maltose, mannose, N-acetylgulcosamine, proline, Tween 80, valerate"		negative		No
other	2008	10.1099/ijs.0.65047-0	EF174497	68	aerobic	2	1	"motile, but unspecified structure"	not indicated	"catalase positive, oxidase positive"	Methylobacterium	iners	5317S-33	7	06-Aug	26.5	Oct-30		Up to 2%	yes	rod	not indicated	93	KACC=11765|DSM=19015	"acetate, asparagine, aspartic acid (aspartate), formic acid, glutamic acid, lactate, propionic acid (propionate), pyruvic acid methyl ester, succinic acid (succinate)"		negative	Air	Yes
other	2008	10.1099/ijs.0.65047-0	EF174498	73.2	aerobic	2.25	1	"motile, but unspecified structure"	not indicated	"catalase positive, oxidase positive"	Methylobacterium 	aerolatum	5413S-11	7	05-Sep	28	Oct-35		Up to 2%	yes	rod	not indicated	93	KACC=11766|DSM=19013	"formic acid, glycerol, lactate, pyruvic acid methyl ester, succinic acid (succinate)"		negative	Air	Yes
seawater	2007	10.1099/ijs.0.65059-0	EF176580	57.9	facultative aerobe	1.05	0.6	non-motile	not indicated	"aesculin hydrolysis, oxidase positive"	Litoricola	lipolytica	 IMCC1097T	7	5.0-10.0	25	15-30	3.25	1.5-10	no	rod	not indicated	1783	KCCM42360T|NBRC102074T	"adonitol, alanine, alanine, arabinose, cellobiose, citric acide (citrate), ethanol, galactose, gluconic acid, glycerol, histidine, itaconate, mannitol, mannose, melibiose, myo-inositol, ornithine, proline, propionic acid (propionate), pyruvic acid (pyruvate), raffinose, rhamnose, ribose, serine, sucrose, trehalose, xylitol"		negative		No
other	2009	10.1099/ijs.0.003616-0	EF177670	58.5	aerobic	5.5	0.6	flagella	no	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, catalase positive, indole production, nitrate reduction to nitrite, oxidase positive"	Saccharospirillium	salsuginis	YIM-Y25T	8	6.0-10.0	37	15-50	5	Jan-15	no	spirillum/corkscrew	not indicated	1382	CCTCCAA207033T|KCTC22169T	"acetate, alanine, alanine, arabinose, asparagine, cellobiose, fructose, galactose, glucose, lactose, malate, maltose, mannitol, mannose, myo-inositol, phenylalanine, proline, pyruvic acid (pyruvate), raffinose, rhamnose, ribose, sorbitol, sucrose, trehalose, tryptophan, Tween 80"		negative	salt mine	No
seawater	2009	10.1099/ijs.0.003251-0	EF177692	46.1	aerobic			non-motile	no	"acid phosphatase, catalase positive, nitrate reduction to nitrite, oxidase positive"	Salinicoccus	albus	YIM-Y21T 	8.5	06-Oct	25	May-40	10	Jan-30	no	cocci	clump	874	CCTCCAA207024T|DSM19776T|KCTC13192T	"arabinose, arabitol, cellobiose, fructose, glucose, glycerol, glycine, mannitol, mannose, propionic acid (propionate), raffinose, rhamnose, ribose, sorbitol, sucrose, trehalose, Tween 40, Tween 80, xylose"		positive		Yes
marine sediment	2007	10.1099/ijs.0.65257-0	EF178282	53.7	facultative anaerobe	3.15	0.6	"motile, but unspecified structure"	not indicated	"alkaline phosphatase, catalase positive, gelatinase, H2S production, nitrate reduction to nitrite, oxidase positive"	Shewanella	haliotis	DW01T	7	05-Nov	37	Oct-42	4	0-10	yes	rod	not indicated	2926	KCTC12896T|JCM14758T	"caprate, malate, N-acetylgulcosamine"		negative		No
soil	2008	10.1099/ijs.0.64994-0	EF178286	63.9	aerobic	1.75	0.5	flagella	no	"catalase positive, oxidase positive"	Nevskia	soli	GR15-1	6.5	04-Jul	26.5	15-30		Up to 2%	NA	rod	not indicated	578	KACC=11703|DSM=19509	glycogen		negative		No
"freshwater (river, lake, pond)"	2008	10.1099/ijs.0.65219-0	EF179119	49.3	NA			flagella	not indicated	"catalase positive, indole production, urease positive"	Yersinia	massiliensis	50640				28-37			NA	ovoid/coccobacillus	not indicated	779	CIP=109351|CCUG=53443	"arabinose, glucose, mannitol, sorbitol, sucrose"		negative		No
human - mouth	2007	10.1099/ijs.0.65096-0	EF185167		anaerobic			non-motile	no	nitrate reduction to nitrite	Veillonella	denticariosi	RBV106T								cocci	clump	2844	CIP109448T|CCUG54362T|DSM19009T	"lactate, malate, propionic acid (propionate), pyruvic acid (pyruvate)"		negative		No
seawater	2009	10.1099/ijs.0.005884-0	EF187256.	58.5	anaerobic	3	1	non-motile	no	H2S production	Desulfoluna	spongiiphila	AA1T	7.5	07-Aug	28	20-37	2.5		NA	rod	not indicated	2133	DSM17682T|ATCCBAA-1256T	"citric acide (citrate), glucose, lactate, propionic acid (propionate), pyruvic acid (pyruvate), succinic acid (succinate)"		negative		No
other	2009	10.1099/ijs.0.005553-0	EF190507		aerobic			non-motile	no	"aesculin hydrolysis, catalase positive, oxidase positive"	Sphingobium	chinhatense	IP26T		06-Sep		20-40		0-5	yes	rod		3140	MTCC8598T|CCM7432T	"arabinose, caprate, fructose, galactose, glucose, myo-inositol, proline, ribose, salicin, serine, trehalose, xylose"		negative	HCH dumpsite	No
